Counter	Card Name	Type	Text	Action on Enter Stable	Beginning of Turn Action	Discard Action	In Stable Effect	Search Deck	Shuffle Deck	Shuffle Discard Into Deck	Scarifice	Return to Hand	Search Discard	Protection	Draw	Destroy	Requires Basic Unicorn	Action on Leave
122	Dragon Rider Unicorn	Magic Unicorn	When this card enters your Stable, you may move an UPGRADE or DOWNGRADE card from any player's Stable to another player's Stable.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
123	Double Dutch	Upgrade	If this card if in your Stable at the beginning of your turn, you may play two cards during your turn instead of one.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
124	Tiny Stable	Downgrade	As long as this card is in your Stable, you can only have five Unicorns in your Stable.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
125	Nanny Cam	Downgrade	As long as this card if in your Stable, you must play with your hand visible to all players.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
126	Mystical Vortex	Magic	Each player must DISCARD a card. Shuffle the discard pile back into the deck.	FALSE	FALSE	Everyone	FALSE	None	FALSE	TRUE	None	FALSE	None	None	0	None	FALSE	FALSE
127	Rainbow Sprinkles	Upgrade	If this card is in your Stable at the beginning of your turn, you may DRAW 3 cards. If you do, immediately skip to your End of Turn phase.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	3	None	FALSE	FALSE
128	Change Of Luck	Magic	DRAW two cards, DISCARD three cards, then take another turn.	FALSE	FALSE	You: 3 cards	FALSE	None	FALSE	FALSE	None	FALSE	None	None	2	None	FALSE	FALSE
129	Storm Of Cuteness	Magic	SACRIFICE all of your Unicorn cards, then DESTROY a Unicorn card in each other player's Stable. Search the deck for a "Kittencorn" card and bring it directly into your Stable. Shuffle the deck.	FALSE	FALSE	None	FALSE	(name: Kittencorn)	TRUE	FALSE	You (all)	FALSE	None	None	0	Each other: 1 unicorn	FALSE	FALSE
130	Shark With A Horn	Magic Unicorn	When this card enters your Stable, you may DESTROY a Unicorn. If you do, SACRIFICE this card.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	You: (this)	FALSE	None	None	0	Choice	FALSE	FALSE
131	Ginormous Unicorn	Magic Unicorn	This card counts for two Unicorns in your Stable. As long as this card is in your stable you cannot play any instant cards.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
132	Dragon Summoner Unicorn	Magic Unicorn	When this card enters your Stable, you may search the discard pile for a card with "Dragon" in its name. Add it to your hand.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	(name: Dragon)	None	0	None	FALSE	FALSE
133	Rainbow Unicorn	Magic Unicorn	When this card enters your Stable, you may also bring a Basic Unicorn directly into your Stable from your hand.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
134	Shabby the Narwhal	Magic Unicorn	When this card enters your Stable, you may search the deck for a Downgrade card. Add it to your hand, then shuffle the deck	TRUE	FALSE	None	FALSE	(type: downgrade)	TRUE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
135	Swift Flying Unicorn	Magic Unicorn	When this card enters your Stable, you may choose an Instant card from the discard pile and add it to your hand. If this card is sacrificed or destroyed, return it to your hand.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	TRUE	(type: Instant)	None	0	None	FALSE	FALSE
136	Stabby the Unicorn	Magic Unicorn	If this card is sacrificed or destroyed, you may DESTROY a Unicorn	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	Choice: 1	FALSE	FALSE
137	Rainbow Aura	Magic Unicorn	As long as this card is in your Stable, your Unicorns cannot be destroyed.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	unicorns (destroy)	0	None	FALSE	FALSE
138	Good Deal	Magic	DRAW 3 cards, then DISCARD a card.	FALSE	FALSE	You: 1	FALSE	None	FALSE	FALSE	None	FALSE	None	None	3	None	FALSE	FALSE
139	Seductive Unicorn	Magic Unicorn	When this card enters your Stable, you may move a Unicorn from any player's Stable to your Stable. If this card leaves your Stable, move the Unicorn back to its original Stable.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	TRUE
140	Dragon Skies	Downgrade	If this card is in your Stable at the beginning of your turn, you must shuffle a Unicorn from your stable into the deck, then DRAW an extra card.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	You: unicorn	FALSE	None	None	1	None	FALSE	FALSE
141	Mermaid Unicorn	Magic Unicorn	When this card tnters your Stable, you may return a card in any player's Stable to that player's hand.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
142	Ultimate Destruction	Magic	SACRIFICE all of your unicorn cards, then DESTROY a Unicorn card in each other player's Stable. Search the deck for an "Extremely Destructive Unicorn" card and bring it directly into your Stable. Shuffle the deck.	FALSE	FALSE	None	FALSE	(name: Extremely Destructive Unicorn)	TRUE	FALSE	You: all unicorns	FALSE	None	None	0	None	FALSE	FALSE
143	Pandamonium	Downgrade	As long as this card is in your Stable, all of your Unicorns are considered Pandas and NOT Unicorns. Cards that affect Unicorns do not affect Pandas.	FALSE	FALSE	None	TRUE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
144	Unicorn Of War	Magic Unicorn	When this card enters your Stable, choose any number of players. DESTROY a unicorn card in each of their Stables. Each of the chosen players may then DESTROY a Unicorn card in your Stable.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	Choice: ?	FALSE	FALSE
145	Narwhal Torpedo	Magic Unicorn	When this card enters your Stable, SACRIFICE all Downgrade cards in your Stable.	TRUE	FALSE	None	FALSE	None	FALSE	FALSE	You: all downgrades	FALSE	None	None	0	None	FALSE	FALSE
146	Unicorn Lasso	Upgrade	If this card is in your Stable at the beginning of your turn, you may move a Unicorn from any player's Stable to your Stable. At the end of your turn, move the Unicorn back to its original Stable.	FALSE	TRUE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
147	Heavenly Smite	Magic	SACRIFICE all of your Unicorn cards, then DESTROY a Unicorn card in each other player's Stable. Search the deck for an "Angel Unicorn" card and bring it directly into your Stable. Shuffle the deck.	FALSE	FALSE	None	FALSE	(name: Angel Unicorn)	TRUE	FALSE	You: all unicorns	FALSE	None	None	0	Choice: 1 per player	FALSE	FALSE
148	Shake Up	Magic Unicorn	Shuffle this card, your hand, and the discard pile back into the deck, then DRAW five cards.	FALSE	FALSE	You: all cards	FALSE	None	FALSE	TRUE	None	FALSE	None	None	5	None	FALSE	FALSE
149	Unicorn Shrinkray	Magic	Replace all Unicorns in any player's Stable with Baby Unicorns from the Nursery. All of the replaced Unicorns go to the Discard Pile.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
150	Super Neigh	Instant	Play this card when any player tries to play a card. Stop that player's card from coming into play and send it to the discard pile instead. This card cannot be Neigh'd	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
151	Innocent Bunnicorn	Magic Unicorn	Look, Mom! I'm a unicorn!	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	None	FALSE	None	None	0	None	FALSE	FALSE
152	Targeted Destruction	Magic	SACRIFICE or DESTROY an Upgrade or Downgrade card.	FALSE	FALSE	None	FALSE	None	FALSE	FALSE	You: upgrade or downgrade	FALSE	None	None	0	Choice: upgrade or downgrade	FALSE	FALSE
